solubility	diffusivity	p_out_grad
0.028020459	8.76E-09	0.477585
0.055180763	5.18E-09	0.554342
0.036962568	7.56E-09	0.541886
0.074159621	2.81E-09	0.405622
0.049636811	4.15E-09	0.401682
0.030888188	4.70E-09	0.284644
0.034798471	2.26E-09	0.154909
0.0205579	6.07E-09	0.244876
0.043949426	9.93E-09	0.839772
0.067970364	7.04E-09	0.918007
0.059850685	8.47E-09	0.971489
0.058152231	1.99E-09	0.227217
0.072145521	9.30E-09	1.277288
0.02409063	1.52E-09	0.072635
0.062474116	3.83E-09	0.465452
0.045923194	1.08E-10	0.009934
0.040886212	3.35E-09	0.268294
0.052569886	6.68E-09	0.67823
0.069814358	6.05E-10	0.083798
0.079864857	5.64E-09	0.865027
